age,workclass,race,sex,y_no,y_yes
39, State-gov, White, Male,1,0
50, Self-emp-not-inc, White, Male,1,0
38, Private, White, Male,1,0
53, Private, Black, Male,1,0
28, Private, Black, Female,1,0
37, Private, White, Female,1,0
49, Private, Black, Female,1,0
52, Self-emp-not-inc, White, Male,0,1
31, Private, White, Female,0,1
42, Private, White, Male,0,1
37, Private, Black, Male,0,1
30, State-gov, Asian-Pac-Islander, Male,0,1
23, Private, White, Female,1,0
32, Private, Black, Male,1,0
40, Private, Asian-Pac-Islander, Male,0,1
34, Private, Amer-Indian-Eskimo, Male,1,0
25, Self-emp-not-inc, White, Male,1,0
32, Private, White, Male,1,0
38, Private, White, Male,1,0
43, Self-emp-not-inc, White, Female,0,1
40, Private, White, Male,0,1
54, Private, Black, Female,1,0
35, Federal-gov, Black, Male,1,0
43, Private, White, Male,1,0
59, Private, White, Female,1,0
56, Local-gov, White, Male,0,1
19, Private, White, Male,1,0
54, ?, Asian-Pac-Islander, Male,0,1
39, Private, White, Male,1,0
49, Private, White, Male,1,0
23, Local-gov, White, Male,1,0
20, Private, Black, Male,1,0
45, Private, White, Male,1,0
30, Federal-gov, White, Male,1,0
22, State-gov, Black, Male,1,0
48, Private, White, Male,1,0
21, Private, White, Male,1,0
19, Private, White, Female,1,0
31, Private, White, Male,0,1
48, Self-emp-not-inc, White, Male,1,0
31, Private, White, Male,1,0
53, Self-emp-not-inc, White, Male,1,0
24, Private, White, Male,1,0
49, Private, White, Female,1,0
25, Private, White, Male,1,0
57, Federal-gov, Black, Male,0,1
53, Private, White, Male,1,0
44, Private, White, Female,1,0
41, State-gov, White, Male,1,0
29, Private, White, Male,1,0
25, Private, Other, Female,1,0
18, Private, White, Female,1,0
47, Private, White, Female,0,1
50, Federal-gov, White, Male,0,1
47, Self-emp-inc, White, Male,1,0
43, Private, White, Male,0,1
46, Private, White, Male,1,0
35, Private, White, Male,1,0
41, Private, White, Male,1,0
30, Private, White, Male,1,0
30, Private, White, Male,1,0
32, ?, White, Male,1,0
48, Private, White, Male,1,0
42, Private, White, Male,0,1
29, Private, White, Male,1,0
36, Private, White, Male,1,0
28, Private, White, Female,1,0
53, Private, White, Female,0,1
49, Self-emp-inc, White, Male,0,1
25, ?, White, Male,1,0
19, Private, White, Male,1,0
31, Private, Black, Female,1,0
29, Self-emp-not-inc, White, Male,0,1
23, Private, White, Male,1,0
79, Private, White, Male,1,0
27, Private, White, Male,1,0
40, Private, White, Male,1,0
67, ?, White, Male,1,0
18, Private, White, Female,1,0
31, Local-gov, White, Male,1,0
18, Private, White, Male,1,0
52, Private, White, Male,1,0
46, Private, White, Female,1,0
59, Private, White, Male,1,0
44, Private, White, Female,0,1
53, Private, White, Female,1,0
49, Local-gov, White, Male,0,1
33, Private, White, Male,1,0
30, Private, White, Male,1,0
43, Federal-gov, White, Female,0,1
57, Private, White, Male,1,0
37, Private, White, Female,1,0
28, Private, Black, Female,1,0
30, Private, Asian-Pac-Islander, Female,1,0
34, Local-gov, White, Male,0,1
29, Local-gov, White, Male,1,0
48, Self-emp-not-inc, White, Male,0,1
37, Private, White, Male,0,1
48, Private, White, Female,1,0
32, Federal-gov, Black, Male,1,0
76, Private, White, Male,0,1
44, Private, White, Male,0,1
47, Self-emp-not-inc, White, Female,1,0
20, Private, White, Female,1,0
29, Private, White, Male,1,0
32, Self-emp-inc, White, Male,0,1
17, ?, White, Female,1,0
30, Private, White, Male,1,0
31, Local-gov, White, Female,1,0
42, Private, White, Male,1,0
24, Private, White, Male,1,0
38, Private, White, Male,0,1
56, Self-emp-not-inc, White, Male,0,1
